Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
D1,25/03/1995,Karlsruher SC,FC Köln,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,25/03/1995,Bayer Leverkusen,SC Freiburg,2,4,A,,,,,,,,,,,,,,,,,,,,,
D1,25/03/1995,FC Schalke 04,FC Kaiserslautern,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,25/03/1995,VfB Stuttgart,Borussia Dortmund,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,25/03/1995,KFC Uerdingen 05,Eintracht Frankfurt,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,25/03/1995,Werder Bremen,MSV Duisburg,5,1,H,,,,,,,,,,,,,,,,,,,,,
D1,31/03/1995,MSV Duisburg,VFL Bochum,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,31/03/1995,Eintracht Frankfurt,FC Schalke 04,0,3,A,,,,,,,,,,,,,,,,,,,,,
D1,01/04/1995,Borussia Dortmund,KFC Uerdingen 05,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,01/04/1995,FC Köln,Bayern München,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,01/04/1995,FC Kaiserslautern,Karlsruher SC,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,01/04/1995,Bor. Mönchengladbach,SC Freiburg,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,01/04/1995,1860 München,Dynamo Dresden,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,01/04/1995,VfB Stuttgart,Bayer Leverkusen,4,2,H,,,,,,,,,,,,,,,,,,,,,
D1,02/04/1995,Hamburger SV,Werder Bremen,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,07/04/1995,VFL Bochum,Hamburger SV,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,07/04/1995,KFC Uerdingen 05,VfB Stuttgart,4,1,H,,,,,,,,,,,,,,,,,,,,,
D1,08/04/1995,Bayern München,FC Kaiserslautern,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,08/04/1995,Dynamo Dresden,FC Köln,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,08/04/1995,SC Freiburg,MSV Duisburg,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,08/04/1995,Karlsruher SC,Eintracht Frankfurt,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,08/04/1995,Bayer Leverkusen,Bor. Mönchengladbach,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,08/04/1995,FC Schalke 04,Borussia Dortmund,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,09/04/1995,Werder Bremen,1860 München,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,13/04/1995,Borussia Dortmund,Karlsruher SC,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,13/04/1995,Hamburger SV,SC Freiburg,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,13/04/1995,KFC Uerdingen 05,Bayer Leverkusen,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,15/04/1995,MSV Duisburg,Bor. Mönchengladbach,0,2,A,,,,,,,,,,,,,,,,,,,,,
