Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
D1,01/10/2000,SC Freiburg,Werder Bremen,0,1,A,0,0,D,25000,Jörg Kessler ,6,13,1,5,0,1,6,10,7,7,2,2,3,3,0,0,30,30,1.95,3.25,3.35,2,2.9,3,2,3.4,3,2,3.25,3.25,1.9,3.25,3.4
D1,01/10/2000,VFL Wolfsburg,VfB Stuttgart,2,2,D,1,1,D,15800,Markus Merk ,15,15,9,10,0,0,4,7,18,15,4,2,0,0,0,0,0,0,2,3.15,3.3,2,2.9,3,2,3.4,3,1.91,3.25,3.5,2,3.2,3.2
D1,13/10/2000,Borussia Dortmund,SC Freiburg,1,0,H,0,0,D,58000,Herbert Fandel ,25,3,11,1,2,0,9,3,24,18,0,1,1,2,0,0,10,20,1.43,3.75,6.5,1.45,3.5,5,1.5,3.75,5,1.5,3.5,6,1.5,3.6,5.5
D1,14/10/2000,FC Köln,VFL Bochum,2,0,H,0,0,D,30000,Michael Weiner ,21,8,12,1,2,1,2,1,17,11,3,0,3,3,0,0,30,30,1.95,3.2,3.4,1.9,2.9,3.2,1.9,3.4,3.25,1.8,3.25,3.75,1.9,3.2,3.5
D1,14/10/2000,1860 München,FC Kaiserslautern,0,4,A,0,1,A,30000,Uwe Kemmling ,11,17,3,10,0,0,11,1,14,13,1,1,3,3,1,0,55,30,1.65,3.5,4.2,1.8,3,3.5,1.7,3.5,3.75,1.57,3.3,5,1.72,3.2,4.33
D1,14/10/2000,Energie Cottbus,Bayern München,1,0,H,1,0,H,21000,Markus Merk ,15,8,8,0,0,0,1,5,23,22,3,1,1,5,0,0,10,50,6.2,3.5,1.45,4.7,3.4,1.5,5.5,3.5,1.5,6,3.5,1.45,5.5,3.6,1.5
D1,14/10/2000,FC Schalke 04,Eintracht Frankfurt,4,0,H,1,0,H,55000,Florian Meyer ,16,5,3,0,0,0,9,2,15,12,5,1,4,2,0,1,40,45,1.57,3.45,4.9,1.5,3.4,4.7,1.6,3.5,4.5,1.45,3.6,5.5,1.5,3.6,5.5
D1,14/10/2000,VfB Stuttgart,Hamburger SV,3,3,D,2,2,D,35000,Jürgen Aust ,17,10,9,9,1,0,2,5,16,16,2,1,3,3,0,0,30,30,2.1,3.1,3,2.1,2.9,2.9,2,3.4,3,2.25,3.1,2.88,2.2,3.1,2.87
D1,14/10/2000,Werder Bremen,Bayer Leverkusen,3,3,D,0,1,A,27000,Helmut Krug ,11,6,6,4,0,0,5,7,12,21,10,2,4,2,0,1,40,45,2.45,3.05,2.6,2.2,2.9,2.7,2.35,3.25,2.5,2.38,3.1,2.63,2.4,3,2.7
D1,15/10/2000,FC Hansa Rostock,Hertha BSC,0,2,A,0,1,A,17000,Hartmut Strampe ,12,15,3,7,0,0,8,6,20,15,4,0,4,3,1,1,65,55,2.2,3,2.9,2.2,2.9,2.7,2.35,3.25,2.5,2.25,3.1,2.88,2.3,3.1,2.75
D1,15/10/2000,SpVgg Unterhaching,VFL Wolfsburg,0,3,A,0,1,A,7500,Edgar Steinborn ,9,11,6,6,0,1,6,3,28,12,1,2,2,1,0,0,20,10,2.15,3.15,3,2.3,2.8,2.6,2.2,3.25,2.75,2.2,3,3.1,2.2,3,3
D1,20/10/2000,FC Kaiserslautern,Werder Bremen,2,0,H,1,0,H,39000,Jürgen Jansen ,3,10,2,4,0,0,2,4,11,11,3,5,1,4,0,0,10,40,1.85,3.4,3.6,1.75,3.1,3.6,1.8,3.25,3.75,1.8,3.25,4,1.8,3.3,3.75
D1,21/10/2000,Bayern München,1860 München,3,1,H,1,0,H,63000,Jürgen Aust ,14,12,9,5,0,0,5,4,21,16,3,2,1,5,0,1,10,75,1.55,3.2,5.5,1.6,3.2,4.2,1.55,3.5,5,1.45,3.6,5.5,1.57,3.4,5
D1,21/10/2000,Hamburger SV,Eintracht Frankfurt,2,0,H,1,0,H,35000,Lutz Michael Fröhlich ,12,3,5,0,0,0,11,1,10,13,0,6,3,1,0,0,30,10,1.55,3.4,5,1.5,3.4,4.7,1.5,3.6,5.5,1.5,3.5,5.5,1.53,3.4,5.5
D1,21/10/2000,Hertha BSC,Energie Cottbus,3,1,H,1,1,D,49400,Jörg Kessler ,15,5,9,3,1,0,8,3,23,14,1,1,2,2,0,0,20,20,1.3,4.5,6.5,1.35,3.8,6.2,1.35,4,7,1.36,4,7.5,1.33,3.75,9
D1,21/10/2000,Bayer Leverkusen,Borussia Dortmund,2,0,H,1,0,H,22500,Helmut Fleischer ,16,13,3,3,2,0,5,2,25,34,9,4,1,2,0,0,10,20,1.95,3.3,3.25,2,2.9,3,2,3.2,3.2,2,3.1,3.4,2.1,3,3.2
D1,21/10/2000,VfB Stuttgart,SpVgg Unterhaching,2,2,D,1,2,A,15000,Herbert Fandel ,23,6,8,3,0,0,16,2,5,15,0,1,1,1,0,0,10,10,1.45,3.4,6.5,1.4,3.6,5.5,1.45,3.5,7,1.44,3.6,6.75,1.5,3.4,6
