Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
E0,16/12/1994,Ipswich,Wimbledon,2,2,D,,,,,,,,,,,,,,,,,,,,,
E0,17/12/1994,Arsenal,Leeds,1,3,A,,,,,,,,,,,,,,,,,,,,,
E0,17/12/1994,Coventry,Newcastle,0,0,D,,,,,,,,,,,,,,,,,,,,,
E0,17/12/1994,Crystal Palace,Norwich,0,1,A,,,,,,,,,,,,,,,,,,,,,
E0,17/12/1994,Everton,Tottenham,0,0,D,,,,,,,,,,,,,,,,,,,,,
E0,17/12/1994,Leicester,Blackburn,0,0,D,,,,,,,,,,,,,,,,,,,,,
E0,17/12/1994,Man United,Nott'm Forest,1,2,A,,,,,,,,,,,,,,,,,,,,,
E0,17/12/1994,Sheffield Weds,QPR,0,2,A,,,,,,,,,,,,,,,,,,,,,
E0,17/12/1994,West Ham,Man City,3,0,H,,,,,,,,,,,,,,,,,,,,,
E0,18/12/1994,Chelsea,Liverpool,0,0,D,,,,,,,,,,,,,,,,,,,,,
E0,19/12/1994,Southampton,Aston Villa,2,1,H,,,,,,,,,,,,,,,,,,,,,
E0,26/12/1994,Arsenal,Aston Villa,0,0,D,,,,,,,,,,,,,,,,,,,,,
E0,26/12/1994,Chelsea,Man United,2,3,A,,,,,,,,,,,,,,,,,,,,,
E0,26/12/1994,Coventry,Nott'm Forest,0,0,D,,,,,,,,,,,,,,,,,,,,,
E0,26/12/1994,Crystal Palace,QPR,0,0,D,,,,,,,,,,,,,,,,,,,,,
E0,26/12/1994,Everton,Sheffield Weds,1,4,A,,,,,,,,,,,,,,,,,,,,,
E0,26/12/1994,Leeds,Newcastle,0,0,D,,,,,,,,,,,,,,,,,,,,,
E0,26/12/1994,Leicester,Liverpool,1,2,A,,,,,,,,,,,,,,,,,,,,,
E0,26/12/1994,Man City,Blackburn,1,3,A,,,,,,,,,,,,,,,,,,,,,
E0,26/12/1994,Norwich,Tottenham,0,2,A,,,,,,,,,,,,,,,,,,,,,
E0,26/12/1994,Southampton,Wimbledon,2,3,A,,,,,,,,,,,,,,,,,,,,,
E0,26/12/1994,West Ham,Ipswich,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,27/12/1994,Nott'm Forest,Norwich,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,27/12/1994,Tottenham,Crystal Palace,0,0,D,,,,,,,,,,,,,,,,,,,,,
E0,28/12/1994,Aston Villa,Chelsea,3,0,H,,,,,,,,,,,,,,,,,,,,,
E0,28/12/1994,Ipswich,Arsenal,0,2,A,,,,,,,,,,,,,,,,,,,,,
E0,28/12/1994,Liverpool,Man City,2,0,H,,,,,,,,,,,,,,,,,,,,,
E0,28/12/1994,Man United,Leicester,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,28/12/1994,QPR,Southampton,2,2,D,,,,,,,,,,,,,,,,,,,,,
E0,28/12/1994,Sheffield Weds,Coventry,5,1,H,,,,,,,,,,,,,,,,,,,,,
E0,28/12/1994,Wimbledon,West Ham,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,31/12/1994,Arsenal,QPR,1,3,A,,,,,,,,,,,,,,,,,,,,,
E0,31/12/1994,Chelsea,Wimbledon,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,31/12/1994,Coventry,Tottenham,0,4,A,,,,,,,,,,,,,,,,,,,,,
E0,31/12/1994,Crystal Palace,Blackburn,0,1,A,,,,,,,,,,,,,,,,,,,,,
E0,31/12/1994,Everton,Ipswich,4,1,H,,,,,,,,,,,,,,,,,,,,,
E0,31/12/1994,Leeds,Liverpool,0,2,A,,,,,,,,,,,,,,,,,,,,,
E0,31/12/1994,Leicester,Sheffield Weds,0,1,A,,,,,,,,,,,,,,,,,,,,,
E0,31/12/1994,Man City,Aston Villa,2,2,D,,,,,,,,,,,,,,,,,,,,,
E0,31/12/1994,Norwich,Newcastle,2,1,H,,,,,,,,,,,,,,,,,,,,,
E0,31/12/1994,Southampton,Man United,2,2,D,,,,,,,,,,,,,,,,,,,,,
E0,31/12/1994,West Ham,Nott'm Forest,3,1,H,,,,,,,,,,,,,,,,,,,,,
E0,02/01/1995,Aston Villa,Leeds,0,0,D,,,,,,,,,,,,,,,,,,,,,
E0,02/01/1995,Blackburn,West Ham,4,2,H,,,,,,,,,,,,,,,,,,,,,
E0,02/01/1995,Ipswich,Leicester,4,1,H,,,,,,,,,,,,,,,,,,,,,
E0,02/01/1995,Liverpool,Norwich,4,0,H,,,,,,,,,,,,,,,,,,,,,
E0,02/01/1995,Newcastle,Man City,0,0,D,,,,,,,,,,,,,,,,,,,,,
E0,02/01/1995,Nott'm Forest,Crystal Palace,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,02/01/1995,Sheffield Weds,Southampton,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,02/01/1995,Tottenham,Arsenal,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,02/01/1995,Wimbledon,Everton,2,1,H,,,,,,,,,,,,,,,,,,,,,
E0,03/01/1995,Man United,Coventry,2,0,H,,,,,,,,,,,,,,,,,,,,,
E0,14/01/1995,Arsenal,Everton,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,14/01/1995,Aston Villa,QPR,2,1,H,,,,,,,,,,,,,,,,,,,,,
E0,14/01/1995,Blackburn,Nott'm Forest,3,0,H,,,,,,,,,,,,,,,,,,,,,
E0,14/01/1995,Chelsea,Sheffield Weds,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,14/01/1995,Crystal Palace,Leicester,2,0,H,,,,,,,,,,,,,,,,,,,,,
E0,14/01/1995,Leeds,Southampton,0,0,D,,,,,,,,,,,,,,,,,,,,,
E0,14/01/1995,Liverpool,Ipswich,0,1,A,,,,,,,,,,,,,,,,,,,,,
E0,14/01/1995,Man City,Coventry,0,0,D,,,,,,,,,,,,,,,,,,,,,
E0,14/01/1995,Norwich,Wimbledon,1,2,A,,,,,,,,,,,,,,,,,,,,,
E0,14/01/1995,West Ham,Tottenham,1,2,A,,,,,,,,,,,,,,,,,,,,,
E0,15/01/1995,Newcastle,Man United,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,21/01/1995,Coventry,Arsenal,0,1,A,,,,,,,,,,,,,,,,,,,,,
E0,21/01/1995,Everton,Crystal Palace,3,1,H,,,,,,,,,,,,,,,,,,,,,
E0,21/01/1995,Ipswich,Chelsea,2,2,D,,,,,,,,,,,,,,,,,,,,,
E0,21/01/1995,Nott'm Forest,Aston Villa,1,2,A,,,,,,,,,,,,,,,,,,,,,
E0,21/01/1995,Sheffield Weds,Newcastle,0,0,D,,,,,,,,,,,,,,,,,,,,,
E0,22/01/1995,Man United,Blackburn,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,23/01/1995,West Ham,Sheffield Weds,0,2,A,,,,,,,,,,,,,,,,,,,,,
E0,24/01/1995,Arsenal,Southampton,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,24/01/1995,Leeds,QPR,4,0,H,,,,,,,,,,,,,,,,,,,,,
E0,24/01/1995,Liverpool,Everton,0,0,D,,,,,,,,,,,,,,,,,,,,,
E0,25/01/1995,Aston Villa,Tottenham,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,25/01/1995,Chelsea,Nott'm Forest,0,2,A,,,,,,,,,,,,,,,,,,,,,
E0,25/01/1995,Crystal Palace,Man United,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,25/01/1995,Man City,Leicester,0,1,A,,,,,,,,,,,,,,,,,,,,,
E0,25/01/1995,Newcastle,Wimbledon,2,1,H,,,,,,,,,,,,,,,,,,,,,
E0,25/01/1995,Norwich,Coventry,2,2,D,,,,,,,,,,,,,,,,,,,,,
E0,28/01/1995,Blackburn,Ipswich,4,1,H,,,,,,,,,,,,,,,,,,,,,
E0,01/02/1995,Blackburn,Leeds,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,01/02/1995,Newcastle,Everton,2,0,H,,,,,,,,,,,,,,,,,,,,,
E0,04/02/1995,Coventry,Chelsea,2,2,D,,,,,,,,,,,,,,,,,,,,,
E0,04/02/1995,Everton,Norwich,2,1,H,,,,,,,,,,,,,,,,,,,,,
