Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D1,04/05/1999,VfB Stuttgart,Bayern München,0,2,A,0,0,D,,,,,,,,,,,
D1,05/05/1999,Bochum,MSV Duisburg,0,2,A,0,1,A,,,,,,,,,,,
D1,05/05/1999,Hertha BSC,VFL Wolfsburg,2,0,H,1,0,H,,,,,,,,,,,
D1,05/05/1999,1860 München,SC Freiburg,2,0,H,1,0,H,,,,,,,,,,,
D1,05/05/1999,FC Nürnberg,Bayer Leverkusen,2,2,D,1,1,D,,,,,,,,,,,
D1,05/05/1999,Schalke 04,Dortmund,1,1,D,1,1,D,,,,,,,,,,,
D1,07/05/1999,Hansa Rostock,VfB Stuttgart,3,0,H,1,0,H,,,,,,,,,,,
D1,07/05/1999,Werder Bremen,Ein Frankfurt,1,2,A,0,0,D,,,,,,,,,,,
D1,08/05/1999,Dortmund,Kaiserslautern,1,0,H,1,0,H,,,,,,,,,,,
D1,08/05/1999,MSV Duisburg,Schalke 04,1,2,A,1,0,H,,,,,,,,,,,
D1,08/05/1999,SC Freiburg,M'gladbach,2,1,H,1,0,H,,,,,,,,,,,
D1,08/05/1999,Hamburger SV,1860 München,3,0,H,0,0,D,,,,,,,,,,,
D1,08/05/1999,Bayer Leverkusen,Bochum,2,0,H,1,0,H,,,,,,,,,,,
D1,08/05/1999,VFL Wolfsburg,FC Nürnberg,1,1,D,0,1,A,,,,,,,,,,,
D1,09/05/1999,Bayern München,Hertha BSC,1,1,D,1,0,H,,,,,,,,,,,
